ID Institution,Institution,ID Stage 1a,Stage 1a,ID Stage 1b,Stage 1b,ID Stage 2,Stage 2,Avg efectiveness,Avg overcoming,Avg initiative,Avg integration,Avg improvement,Avg fairness,Avg sned_score
1,LICEO POLITECNICO ARICA,1,Urbana,2,Media urbana (con o sin básica),32,Media urbana (con o sin básica) grupo 2,41.494972229003906,51.52108383178711,87.83636474609375,76.08333587646484,92.3456802368164,92.95315551757812,61.14999771118164
2,PARVULARIO LAS ESPIGUITAS,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,56.50051498413086,49.40253448486328,91.75454711914062,70.69999694824219,92.59259033203125,96.89556121826172,66.94705200195312
3,ESC. PEDRO VICENTE GUTIERREZ TORRES,2,Rural,3,Básica rural,21,Básica rural grupo 1,47.25902557373047,49.1356201171875,0.0,0.0,92.59259033203125,95.27359771728516,54.05585479736328
4,LICEO OCTAVIO PALMA PEREZ,1,Urbana,2,Media urbana (con o sin básica),32,Media urbana (con o sin básica) grupo 2,67.42762756347656,44.22957992553711,100.0,96.66666412353516,92.59259033203125,97.72846221923828,71.51795196533203
5,JOVINA NARANJO FERNANDEZ,1,Urbana,2,Media urbana (con o sin básica),32,Media urbana (con o sin básica) grupo 2,70.26982879638672,53.75154113769531,93.25,62.5,74.0740737915039,96.67619323730469,72.5205078125
7,L. POLI. ANTONIO VARAS DE LA BARRA,1,Urbana,2,Media urbana (con o sin básica),32,Media urbana (con o sin básica) grupo 2,42.54859161376953,45.773216247558594,89.66363525390625,67.58333587646484,92.59259033203125,94.23423767089844,59.90184783935547
8,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,1,Urbana,2,Media urbana (con o sin básica),32,Media urbana (con o sin básica) grupo 2,47.0230827331543,40.71669387817383,0.0,0.0,81.48148345947266,93.13081359863281,50.917625427246094
9,ESCUELA REPUBLICA DE ISRAEL,1,Urbana,1,Básica urbana,11,Básica urbana grupo 1,61.99039840698242,43.91407775878906,98.0999984741211,100.0,92.59259033203125,97.78878021240234,69.48377227783203
10,ESCUELA REPUBLICA DE FRANCIA,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,47.116058349609375,40.79835510253906,0.0,0.0,81.48148345947266,95.71431732177734,51.54326248168945
11,ESC. GRAL. PEDRO LAGOS MARCHANT,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,64.64628601074219,64.13479614257812,93.69999694824219,93.5,91.6429214477539,96.1495132446289,75.15962219238281
12,ESCUELA GRAL JOSE MIGUEL CARRERA,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,67.81993865966797,49.540260314941406,100.0,87.5,92.43329620361328,97.0906753540039,72.54826354980469
13,ESCUELA MANUEL RODRIGUEZ ERDOYZA,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,53.64030456542969,54.03628158569336,85.3499984741211,74.5,81.48148345947266,97.4794921875,66.89818572998047
14,ESCUELA ROMULO J. PENA MATURANA,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,51.445899963378906,50.874595642089844,92.05000305175781,73.5,100.0,95.4832534790039,65.48418426513672
15,LICEO ARTISTICO DR. JUAN NOE CREVANI,1,Urbana,2,Media urbana (con o sin básica),32,Media urbana (con o sin básica) grupo 2,43.87574005126953,42.914764404296875,95.69999694824219,82.5,74.0740737915039,92.86285400390625,60.028465270996094
